# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00172	80.0	0.37937400517152225	4.547758190599717	0.033999	0.04522954001535189	1e-06	1.0	0.04522954001535189	92571902.76275209
CNAG_00173	70.0	0.16274558017863203	1.6875986007752248	0.927587	1.2339872741615994	1e-06	1.0	1.2339872741615994	1879025882570.4644
CNAG_00174	60.0	0.257020942297098	1.4975373093179951	0.350364	0.46609613688457746	1e-06	1.0	0.46609613688457746	101257906379.48863
CNAG_00175	80.0	0.3436073800213179	1.168533765442082	0.063691	0.0847293930150233	1e-06	1.0	0.0847293930150233	608363584.7163563
CNAG_00176	70.0	0.12713991518119783	1.7778761153992964	0.991874	1.319509537727202	1e-06	1.0	1.319509537727202	2297408824996.5474
CNAG_00177	80.0	0.2146257606845254	3.0233288636106215	0.643285	0.8557747183380582	1e-06	1.0	0.8557747183380582	626728412870.2295
CNAG_00178	70.0	0.10611122142060068	2.287173334420532	0.999038	1.3290399481707438	1e-06	1.0	1.3290399481707438	2347549646241.118
CNAG_00179	80.0	0.5274901144080012	5.016405254824352	0.005734	0.007628053250037582	1e-06	1.0	0.007628053250037582	451483.5372314168
CNAG_00180	70.0	0.4539066758330691	3.000455953525137	0.013437	0.01787550602036187	1e-06	1.0	0.01787550602036187	5729708.090565447
CNAG_00181	80.0	0.2729631682208396	1.2924255804914584	0.261241	0.3475340528589236	1.0	1000000.0	347534.05285892356	4.197548190460861e+28
CNAG_00182	80.0	0.2457869493871147	2.6753667094112705	0.422916	0.5626134929007488	1e-06	1.0	0.5626134929007488	178087007652.2445
CNAG_00183	80.0	0.32926347272398143	1.8412961006683428	0.084138	0.11193044024270353	1e-06	1.0	0.11193044024270353	1402425285.4970806
CNAG_00184	70.0	0.09992287796841287	2.5135441024011422	0.999584	1.3297663027355364	1e-06	1.0	1.3297663027355364	2351400737790.098
CNAG_00185	80.0	0.24293799253344983	1.3280550113681782	0.44201	0.5880146175530365	1.0	1000000.0	588014.6175530365	2.0331322218531076e+29
CNAG_00186	80.0	0.31162934282811133	2.137713150602473	0.119892	0.15949469135917435	1e-06	1.0	0.15949469135917435	4057478281.2010665
CNAG_00187	70.0	0.14677001938912013	2.184062708194088	0.968447	1.2883441377466245	1e-06	1.0	1.2883441377466245	2138436472185.6038
CNAG_00188	80.0	0.20154288293355033	2.3322669124359483	0.73274	0.9747784685093368	1e-06	1.0	0.9747784685093368	926229639424.2635
CNAG_00189	80.0	0.15490623937854586	2.264419055692935	0.95064	1.2646551345684909	1e-06	1.0	1.2646551345684909	2022632776737.0327
CNAG_00190	60.0	0.2123021503677524	1.1599834199325407	0.659804	0.8777502697223223	1e-06	1.0	0.8777502697223223	676260331038.1854
CNAG_00191	80.0	0.5500810555483935	3.308688124674193	0.00409	0.005441007637365488	1e-06	1.0	0.005441007637365488	166519.83357970905
